id,company,primary_area,secondary_areas,home_market,research_group,asset_hypothesis,ai_use_case,feedback_hypothesis,principal_risk,proof_kpi,evidence_stage,company_source_ids,source_scope,evidence_confidence,score_kind,structural_prior,asset,ai_leverage,feedback,testability,distribution,capture,valuation_status,valuation_date,price,fair_value,valuation_score,diligence_priority,investable_status,as_of
C001,Sanofi,H01,,France,Health Care,"Immunology and vaccine research, clinical cohorts and trial infrastructure","Use multimodal models and active learning to improve target selection, molecule design and trial stratification. The valuable outcome is more clinically useful candidates per research euro.","Longitudinal experiments, failed compounds, clinical cohorts and trial infrastructure outcomes can improve decisions only if reusable rights and labels exist.",R&D productivity must translate into clinical successes beyond existing leading franchises,Phase II-to-III transition rate by entry cohort; risk-adjusted pipeline value per R&D euro; time and spend to kill weak programmes,E1,S03,company-specific description,limited,analyst structural prior; not evidence-validated,92.0,5,4,5,3,5,5,NOT_ASSESSED,,,,,P1,RESEARCH_ONLY,2026-09-11
C002,Roche,H01,H02,Switzerland,Health Care,Combined pharmaceutical research and diagnostic relationships,"Use multimodal models and active learning to improve target selection, molecule design and trial stratification. The valuable outcome is more clinically useful candidates per research euro.","Longitudinal experiments, failed compounds, clinical cohorts and trial infrastructure outcomes can improve decisions only if reusable rights and labels exist.",Diagnostic access does not automatically permit linking or reusing patient-level data,Phase II-to-III transition rate by entry cohort; risk-adjusted pipeline value per R&D euro; time and spend to kill weak programmes,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,92.0,5,4,5,3,5,5,NOT_ASSESSED,,,,,P1,RESEARCH_ONLY,2026-09-11
C003,AstraZeneca,H01,,United Kingdom,Health Care,Oncology and broader clinical-development engine,"Use multimodal models and active learning to improve target selection, molecule design and trial stratification. The valuable outcome is more clinically useful candidates per research euro.","Longitudinal experiments, failed compounds, clinical cohorts and trial infrastructure outcomes can improve decisions only if reusable rights and labels exist.",Pipeline breadth can mask correlated clinical and commercial risks,Phase II-to-III transition rate by entry cohort; risk-adjusted pipeline value per R&D euro; time and spend to kill weak programmes,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,92.0,5,4,5,3,5,5,NOT_ASSESSED,,,,,P1,RESEARCH_ONLY,2026-09-11
C004,Novartis,H01,,Switzerland,Health Care,Therapeutic expertise and global clinical-development operations,"Use multimodal models and active learning to improve target selection, molecule design and trial stratification. The valuable outcome is more clinically useful candidates per research euro.","Longitudinal experiments, failed compounds, clinical cohorts and trial infrastructure outcomes can improve decisions only if reusable rights and labels exist.",Portfolio simplification alone can explain productivity gains,Phase II-to-III transition rate by entry cohort; risk-adjusted pipeline value per R&D euro; time and spend to kill weak programmes,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,92.0,5,4,5,3,5,5,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C005,Novo Nordisk,H01,,Denmark,Health Care,Metabolic disease expertise and longitudinal development experience,"Use multimodal models and active learning to improve target selection, molecule design and trial stratification. The valuable outcome is more clinically useful candidates per research euro.","Longitudinal experiments, failed compounds, clinical cohorts and trial infrastructure outcomes can improve decisions only if reusable rights and labels exist.",Concentration and competition may dominate any AI gain,Phase II-to-III transition rate by entry cohort; risk-adjusted pipeline value per R&D euro; time and spend to kill weak programmes,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,85.0,5,4,4,3,5,4,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C006,Eli Lilly,H01,,United States,Health Care,Metabolic and neuroscience development and manufacturing knowledge,"Use multimodal models and active learning to improve target selection, molecule design and trial stratification. The valuable outcome is more clinically useful candidates per research euro.","Longitudinal experiments, failed compounds, clinical cohorts and trial infrastructure outcomes can improve decisions only if reusable rights and labels exist.",An excellent engine can still be a poor investment at an excessive price,Phase II-to-III transition rate by entry cohort; risk-adjusted pipeline value per R&D euro; time and spend to kill weak programmes,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,92.0,5,4,5,3,5,5,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C007,Siemens Healthineers,H02,,Germany,Health Care,Imaging installed base and clinical workflow integration,"AI can improve image reconstruction, diagnostic workflow and procedure planning, allowing each installed system to handle more useful clinical work.","Installed instruments, imaging or procedure data, clinician relationships and service networks outcomes can improve decisions only if reusable rights and labels exist.",Hospital data rights and reimbursement constrain capture,Quality-adjusted procedures per installed unit; repeat-scan rate; software attach and renewal rate,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,85.0,5,4,4,3,5,4,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C008,Medtronic,H02,,Ireland,Health Care,Device installed base and procedure-specific expertise,"AI can improve image reconstruction, diagnostic workflow and procedure planning, allowing each installed system to handle more useful clinical work.","Installed instruments, imaging or procedure data, clinician relationships and service networks outcomes can improve decisions only if reusable rights and labels exist.",Regulatory execution and product quality may overwhelm workflow gains,Quality-adjusted procedures per installed unit; repeat-scan rate; software attach and renewal rate,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,77.0,4,3,4,3,5,4,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C009,Intuitive Surgical,H02,,United States,Health Care,"Surgical platform, instruments and procedure ecosystem","AI can improve image reconstruction, diagnostic workflow and procedure planning, allowing each installed system to handle more useful clinical work.","Installed instruments, imaging or procedure data, clinician relationships and service networks outcomes can improve decisions only if reusable rights and labels exist.","Procedure data rights, clinical evidence and competing platforms",Quality-adjusted procedures per installed unit; repeat-scan rate; software attach and renewal rate,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,92.0,5,4,5,3,5,5,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
C010,Thermo Fisher Scientific,H03,,United States,Health Care,"Laboratory tools, consumables and service relationships","AI can automate experimental design, improve assay yield and shorten trial recruitment or monitoring work.","Instrument footprints, assay protocols, laboratory workflows and trial operations outcomes can improve decisions only if reusable rights and labels exist.",Customers may own the useful data and retain the productivity gain,Successful experiments per instrument-day; trial enrollment time; service contribution per project,E0,,no company-specific source reviewed,low,analyst structural prior; not evidence-validated,87.0,4,4,4,4,5,5,NOT_ASSESSED,,,,,P2,RESEARCH_ONLY,2026-09-11
