company_id,company,dimension,prior,weight,rationale,status,source_ids
C001,Sanofi,asset,5,20,"Immunology and vaccine research, clinical cohorts and trial infrastructure. Verify exclusivity and practical reuse.",HYPOTHESIS,S03
C001,Sanofi,ai_leverage,4,20,"Use multimodal models and active learning to improve target selection, molecule design and trial stratification. The valuable outcome is more clinically useful candidates per research euro. Incremental financial materiality remains unmeasured.",HYPOTHESIS,S03
C001,Sanofi,feedback,5,15,"Longitudinal experiments, failed compounds, clinical cohorts and trial infrastructure. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,S03
C001,Sanofi,testability,3,10,"Compare AI-assisted and conventional programmes matched on modality, therapeutic area, stage and vintage. Include abandoned programmes.",HYPOTHESIS,S03
C001,Sanofi,distribution,5,15,"Immunology and vaccine research, clinical cohorts and trial infrastructure. Verify the share of eligible workflows reachable through existing channels.",HYPOTHESIS,S03
C001,Sanofi,capture,5,20,"Patent-protected products and differentiated clinical outcomes can retain value, but payers and competing treatments can absorb the gain. Company-specific risk: R&D productivity must translate into clinical successes beyond existing leading franchises.",HYPOTHESIS,S03
C002,Roche,asset,5,20,Combined pharmaceutical research and diagnostic relationships. Verify exclusivity and practical reuse.,HYPOTHESIS,
C002,Roche,ai_leverage,4,20,"Use multimodal models and active learning to improve target selection, molecule design and trial stratification. The valuable outcome is more clinically useful candidates per research euro. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C002,Roche,feedback,5,15,"Longitudinal experiments, failed compounds, clinical cohorts and trial infrastructure. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C002,Roche,testability,3,10,"Compare AI-assisted and conventional programmes matched on modality, therapeutic area, stage and vintage. Include abandoned programmes.",HYPOTHESIS,
C002,Roche,distribution,5,15,Combined pharmaceutical research and diagnostic relationships. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C002,Roche,capture,5,20,"Patent-protected products and differentiated clinical outcomes can retain value, but payers and competing treatments can absorb the gain. Company-specific risk: Diagnostic access does not automatically permit linking or reusing patient-level data.",HYPOTHESIS,
C003,AstraZeneca,asset,5,20,Oncology and broader clinical-development engine. Verify exclusivity and practical reuse.,HYPOTHESIS,
C003,AstraZeneca,ai_leverage,4,20,"Use multimodal models and active learning to improve target selection, molecule design and trial stratification. The valuable outcome is more clinically useful candidates per research euro. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C003,AstraZeneca,feedback,5,15,"Longitudinal experiments, failed compounds, clinical cohorts and trial infrastructure. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C003,AstraZeneca,testability,3,10,"Compare AI-assisted and conventional programmes matched on modality, therapeutic area, stage and vintage. Include abandoned programmes.",HYPOTHESIS,
C003,AstraZeneca,distribution,5,15,Oncology and broader clinical-development engine. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C003,AstraZeneca,capture,5,20,"Patent-protected products and differentiated clinical outcomes can retain value, but payers and competing treatments can absorb the gain. Company-specific risk: Pipeline breadth can mask correlated clinical and commercial risks.",HYPOTHESIS,
C004,Novartis,asset,5,20,Therapeutic expertise and global clinical-development operations. Verify exclusivity and practical reuse.,HYPOTHESIS,
C004,Novartis,ai_leverage,4,20,"Use multimodal models and active learning to improve target selection, molecule design and trial stratification. The valuable outcome is more clinically useful candidates per research euro. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C004,Novartis,feedback,5,15,"Longitudinal experiments, failed compounds, clinical cohorts and trial infrastructure. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C004,Novartis,testability,3,10,"Compare AI-assisted and conventional programmes matched on modality, therapeutic area, stage and vintage. Include abandoned programmes.",HYPOTHESIS,
C004,Novartis,distribution,5,15,Therapeutic expertise and global clinical-development operations. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C004,Novartis,capture,5,20,"Patent-protected products and differentiated clinical outcomes can retain value, but payers and competing treatments can absorb the gain. Company-specific risk: Portfolio simplification alone can explain productivity gains.",HYPOTHESIS,
C005,Novo Nordisk,asset,5,20,Metabolic disease expertise and longitudinal development experience. Verify exclusivity and practical reuse.,HYPOTHESIS,
C005,Novo Nordisk,ai_leverage,4,20,"Use multimodal models and active learning to improve target selection, molecule design and trial stratification. The valuable outcome is more clinically useful candidates per research euro. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C005,Novo Nordisk,feedback,4,15,"Longitudinal experiments, failed compounds, clinical cohorts and trial infrastructure. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C005,Novo Nordisk,testability,3,10,"Compare AI-assisted and conventional programmes matched on modality, therapeutic area, stage and vintage. Include abandoned programmes.",HYPOTHESIS,
C005,Novo Nordisk,distribution,5,15,Metabolic disease expertise and longitudinal development experience. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C005,Novo Nordisk,capture,4,20,"Patent-protected products and differentiated clinical outcomes can retain value, but payers and competing treatments can absorb the gain. Company-specific risk: Concentration and competition may dominate any AI gain.",HYPOTHESIS,
C006,Eli Lilly,asset,5,20,Metabolic and neuroscience development and manufacturing knowledge. Verify exclusivity and practical reuse.,HYPOTHESIS,
C006,Eli Lilly,ai_leverage,4,20,"Use multimodal models and active learning to improve target selection, molecule design and trial stratification. The valuable outcome is more clinically useful candidates per research euro. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C006,Eli Lilly,feedback,5,15,"Longitudinal experiments, failed compounds, clinical cohorts and trial infrastructure. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C006,Eli Lilly,testability,3,10,"Compare AI-assisted and conventional programmes matched on modality, therapeutic area, stage and vintage. Include abandoned programmes.",HYPOTHESIS,
C006,Eli Lilly,distribution,5,15,Metabolic and neuroscience development and manufacturing knowledge. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C006,Eli Lilly,capture,5,20,"Patent-protected products and differentiated clinical outcomes can retain value, but payers and competing treatments can absorb the gain. Company-specific risk: An excellent engine can still be a poor investment at an excessive price.",HYPOTHESIS,
C007,Siemens Healthineers,asset,5,20,Imaging installed base and clinical workflow integration. Verify exclusivity and practical reuse.,HYPOTHESIS,
C007,Siemens Healthineers,ai_leverage,4,20,"AI can improve image reconstruction, diagnostic workflow and procedure planning, allowing each installed system to handle more useful clinical work. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C007,Siemens Healthineers,feedback,4,15,"Installed instruments, imaging or procedure data, clinician relationships and service networks. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C007,Siemens Healthineers,testability,3,10,Use paired-reader studies and hospital deployment cohorts with equivalent case mix. Separate diagnostic accuracy from billing activity.,HYPOTHESIS,
C007,Siemens Healthineers,distribution,5,15,Imaging installed base and clinical workflow integration. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C007,Siemens Healthineers,capture,4,20,"Premium features, service contracts and procedure-linked consumables may capture a share of customer throughput gains. Company-specific risk: Hospital data rights and reimbursement constrain capture.",HYPOTHESIS,
C008,Medtronic,asset,4,20,Device installed base and procedure-specific expertise. Verify exclusivity and practical reuse.,HYPOTHESIS,
C008,Medtronic,ai_leverage,3,20,"AI can improve image reconstruction, diagnostic workflow and procedure planning, allowing each installed system to handle more useful clinical work. Incremental financial materiality remains unmeasured.",HYPOTHESIS,
C008,Medtronic,feedback,4,15,"Installed instruments, imaging or procedure data, clinician relationships and service networks. Useful outcome labels and lawful learning rights remain to be verified.",HYPOTHESIS,
C008,Medtronic,testability,3,10,Use paired-reader studies and hospital deployment cohorts with equivalent case mix. Separate diagnostic accuracy from billing activity.,HYPOTHESIS,
C008,Medtronic,distribution,5,15,Device installed base and procedure-specific expertise. Verify the share of eligible workflows reachable through existing channels.,HYPOTHESIS,
C008,Medtronic,capture,4,20,"Premium features, service contracts and procedure-linked consumables may capture a share of customer throughput gains. Company-specific risk: Regulatory execution and product quality may overwhelm workflow gains.",HYPOTHESIS,
